LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:24d728,"<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Besucherzentrum\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n",Original,WhiteCoastSign
line:c3feb2,hey! wo möchtest du denn hingehen?,hey! where do you think you're going?,hey! where do you think you're going?,Original,AuntRunOffStart
line:660020,"oh, ähm...","oh, um...","oh, um...",Player,AuntRunOffStart
line:94ad70,"du wirst doch nicht einfach\nweggehen ohne der alten tante\nmay hallo zu sagen, oder?","you're not going to just wander\noff without saying hi to old\nAunt May, are you?","you're not going to just wander\noff without saying hi to old\nAunt May, are you?",Original,AuntRunOffStart
line:0377ea,ich habe dich den ganzen Tag noch nicht gesehen!,i haven't seen you all day!,i haven't seen you all day!,Original,AuntRunOffStart
line:2ee5c6,tut mir leid...,sorry...,sorry...,Player,AuntRunOffStart
line:393e8a,"ich habe keine lust\nzu reden, denke ich","i just, didn't feel like\ntalking i guess","i just, didn't feel like\ntalking i guess",Player,AuntRunOffStart
line:8bc66d,hmm was ist denn los?,hmm what's going on?,hmm what's going on?,Original,AuntRunOffStart
line:68da3e,nichts!,it's nothing!,it's nothing!,Player,AuntRunOffStart
line:cc2ab6,ähm,um,um,Player,AuntRunOffStart
line:2a2a55,ich habe nur gerade\nauf einen anruf gewartet,i've just been waiting\naround for a call,i've just been waiting\naround for a call,Player,AuntRunOffStart
line:69f366,"hey, wie geht es dir?",hey how's it going?,hey how's it going?,Original,AuntIntroStart
line:f3c007,ich habe dich\nden ganzen tag nicht gesehen,i haven't seen you all day,i haven't seen you all day,Original,AuntIntroStart
line:13113d,warst du beschäftigt?,you been busy?,you been busy?,Original,AuntIntroStart
line:15e70c,"uh, schon irgendwie","uh, kinda","uh, kinda",Player,AuntIntroStart
line:04670a,"nagut, nicht wirklich","well, not really","well, not really",Player,AuntIntroStart
line:de5495,ich habe gerade auf\neinen anruf gewartet,i've just been waiting\naround for a call,i've just been waiting\naround for a call,Player,AuntIntroStart
line:ac2e52,"nun, das ist dein problem!",well there's your problem!,well there's your problem!,Original,AuntIntroEnd
line:122c03,hier draußen gibt es keinen empfang,there's no reception out here,there's no reception out here,Original,AuntIntroEnd
line:895cf8,warte...,wait...,wait...,Player,AuntIntroEnd
line:85a826,WAS!?,WHAT!?,WHAT!?,Player,AuntIntroEnd
line:264290,"ja, ich meine, so ziemlich\nkeinen empfang","yeah, i mean, pretty much\nno reception","yeah, i mean, pretty much\nno reception",Original,AuntIntroEnd
line:8a1b8c,du könntest ein wenig\nempfang auf <color=red>Hawk Peak</color> haben,you might be able to get\nsome at <color=red>Hawk Peak</color>,you might be able to get\nsome at <color=red>Hawk Peak</color>,Original,AuntIntroEnd
line:c175a4,"oh... ja, denke schon",oh... yeah i guess,oh... yeah i guess,Player,AuntIntroEnd
line:f8213b,"aber das ist sehr\nweit weg, oder?",but that's pretty far\nisn't it?,but that's pretty far\nisn't it?,Player,AuntIntroEnd
line:b5e4af,so weit ist es nicht!,it's not that far!,it's not that far!,Original,AuntIntroEnd
line:2adc6a,wir haben alle die\nwanderung schon mal gemacht,we've all made the\ntrek before,we've all made the\ntrek before,Original,AuntIntroEnd
line:2cc023,ich dachte du wärst\nschon einmal dort gewesen,i figured you would have\ngone already,i figured you would have\ngone already,Original,AuntIntroEnd
line:22169d,oh... ja,oh... yeah,oh... yeah,Player,AuntIntroEnd
line:87a10b,ich wollte mal dort hin,i've been meaning to go,i've been meaning to go,Player,AuntIntroEnd
line:bb94a0,aber,but,but,Player,AuntIntroEnd
line:97eccf,es ist nur so,i just,i just,Player,AuntIntroEnd
line:43b28d,ich bin noch nicht dazu gekommen,haven't gotten around to it yet,haven't gotten around to it yet,Player,AuntIntroEnd
line:7a4449,"nun, heute ist ein guter tag\nwie jeder andere!",well today's as good a day\nas any!,well today's as good a day\nas any!,Original,AuntIntroEnd
line:69a1a3,...,...,...,Player,AuntIntroEnd
line:665732,nimm' bloß den <color=red>White Beach Weg</color>\nund laufe an der gabelung nach <color=red>norden</color>,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,Original,AuntIntroEnd
line:4a3aac,folge dann den schildern\nnach <color=red>Hawk Peak</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,Original,AuntIntroEnd
line:afa6b1,kein problem!,no problem!,no problem!,Original,AuntIntroEnd
line:e4f197,<color=red>Hawk Peak</color> ist wirklich wunderschön,<color=red>Hawk Peak</color> really is wonderful,<color=red>Hawk Peak</color> really is wonderful,Original,AuntChat
line:8866aa,du wirst es lieben!,you're going to love it!,you're going to love it!,Original,AuntChat
line:3f786f,ja... ich habe viel darüber gehört,yeah... i've heard a lot about it,yeah... i've heard a lot about it,Player,AuntChat
line:1a3a17,"es ist eine ziemliche wanderung, natürlich","it's quite a hike, sure","it's quite a hike, sure",Original,AuntChat
line:5178bc,aber unsere familie ist seit\ngenerationen hingegangen,but our family has been going\nthere for generations,but our family has been going\nthere for generations,Original,AuntChat
line:67dceb,yup,yup,yup,Player,AuntChat
line:e2d813,die thermalquellen am gipfel\nschaffen diese erschaunlichen aufwinde,the hot springs at the peak\ncreate these amazing updrafts,the hot springs at the peak\ncreate these amazing updrafts,Original,AuntChat
line:40798a,das gefühl dort hoch zu fliegen\nist einfach atemberaubend,the feeling of flying up there\nis incredible,the feeling of flying up there\nis incredible,Original,AuntChat
line:f124e6,aber,but,but,Player,AuntChat
line:a1168c,ist es nicht,isn't it,isn't it,Player,AuntChat
line:c8cb65,irgendwie gefährlich?,kind of dangerous?,kind of dangerous?,Player,AuntChat
line:65f725,nicht wirklich,not really,not really,Original,AuntChat
line:2dc6ae,es wird kein problem\nfür dich sein!,it'll be no problem for you!,it'll be no problem for you!,Original,AuntChat
line:a9b82f,hmm,hmm,hmm,Player,AuntChat
line:0acd94,"also, auf was für einen anruf\nwartest du?",so what kind of call\nare you waiting for?,so what kind of call\nare you waiting for?,Player,AuntChat
line:e495d6,oh.. ähm,oh.. um,oh.. um,Player,AuntChat
line:e1eca7,du weißt schon...,you know...,you know...,Player,AuntChat
line:fe9497,...,...,...,Player,AuntChat
line:39e326,die sache,the thing,the thing,Player,AuntChat
line:a48a7c,...,...,...,Original,AuntChat
line:9c8c35,ohhh! tut mir leid,ohhh! i'm sorry,ohhh! i'm sorry,Original,AuntChat
line:4d933a,ich vergaß,i forgot,i forgot,Original,AuntChat
line:04095c,"macht dir darüber keine sorgen, schätzchen",don't worry about it dear,don't worry about it dear,Original,AuntChat
line:0c7e66,ich bin mir sicher\nalles wird gut gehen,i'm sure it'll all work\nout fine,i'm sure it'll all work\nout fine,Original,AuntChat
line:69afd0,"ich denke,",i think,i think,Original,AuntChat
line:e13932,eine nette wanderung\nwird dir helfen dich von deinen gedanken\nablenken zu können,a nice hike will help you\ntake your mind off it,a nice hike will help you\ntake your mind off it,Original,AuntChat
line:109615,ahh sicher ist ein schöner tag,ahh sure is a nice day,ahh sure is a nice day,Original,AuntChat
line:923d86,"weißt du, ich liebe es hier","i love it here, you know?","i love it here, you know?",Original,AuntChat
line:2640d9,"ja, es ist toll","yeah, it's nice","yeah, it's nice",Player,AuntChat
line:797bbe,die städte sind aber auch ziemlich gut,the city's pretty good\ntoo though!,the city's pretty good\ntoo though!,Player,AuntChat
line:a96f99,sie haben coole veranstaltungen,it's got cool events,it's got cool events,Player,AuntChat
line:af8fd9,großartiges futter,great food,great food,Player,AuntChat
line:ba2c5e,und auch,and also,and also,Player,AuntChat
line:2eade3,handyempfang!,cellphone reception!,cellphone reception!,Player,AuntChat
line:c73cbb,"weißt du, wir werden\nauch bald empfang bekommen!","we'll get reception too\nsoon, ya know!","we'll get reception too\nsoon, ya know!",Original,AuntChat
line:89c559,sie bauen gerade an\neinem neuen funkturm,they're building a new\nradio tower,they're building a new\nradio tower,Original,AuntChat
line:49e489,oh,oh,oh,Player,AuntChat
line:6b6e0e,das wird toll,that'll be nice,that'll be nice,Player,AuntChat
line:d4c9d3,"ahh, es ist so wunderschön hier","ahh, it's so lovely here","ahh, it's so lovely here",Player,AuntChat
line:223ea1,ich könnte hier den ganzen tag sitzen,i could sit here all day,i could sit here all day,Player,AuntChat
line:de9d91,und das werde ich auch,and i will,and i will,Player,AuntChat
line:b7a7b0,CLAIRE!,CLAIRE!,CLAIRE!,Original,KidStart
line:c4bfc9,hast du gewusst...,did you know...,did you know...,Original,KidStart
line:89c5de,du kannst <color=red>{{JumpButton}} während des\nrennens gedrückt halten</color> um\ndurch die luft zu gleiten?!?,you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,Original,KidStart
line:63f4be,natürlich!,of course!,of course!,Player,KidStart
line:bc1f77,das weiß doch jeder!,everyone knows that,everyone knows that,Player,KidStart
line:59da5d,warum fragst du?,why do you ask?,why do you ask?,Player,KidStart
line:11dc70,keine ahnung..,i dunno,i dunno,Original,KidStart
line:8d1f3a,"ich hatte so ein gefühl,\ndass du es wissen wollen würdest",i just had a feeling\nyou might want to know,i just had a feeling\nyou might want to know,Original,KidStart
line:5f1cb6,ämmm,um,um,Player,KidStart
line:9857a1,ok,ok,ok,Player,KidStart
line:6b0d0c,"warte, äh","wait, uh","wait, uh",Player,KidStart
line:2c740b,wie gleite ich nochmal?,how do i glide again?,how do i glide again?,Player,KidStart
line:a5b030,"du <color=red>hältst {{JumpButton}} während\ndes rennens gedrückt</color>, dummerchen!",you <color=red>hold {{JumpButton}} while running</color> dummy!,you <color=red>hold {{JumpButton}} while running</color> dummy!,Original,KidStart
line:131a7c,"cool, wollte nur sicher gehen,\ndass du es nicht vergessen hast",cool just making sure\nyou haven't forgotten,cool just making sure\nyou haven't forgotten,Player,KidStart
line:975e5c,ich vergesse niemals etwas!,i never forget anything!,i never forget anything!,Original,KidStart
line:845d4e,ich bin ein genie,i'm a genius,i'm a genius,Original,KidStart
line:32fa08,ok ein letztes mal,ok one last time,ok one last time,Player,KidStart
line:b08a47,was hast du gesagt?,what was that thing you said?,what was that thing you said?,Player,KidStart
line:703f8a,<color=red>HALTE {{JumpButton}} WÄHREND DES RENNENS\nGEDRÜCKT UM ZU GLEITEN!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,Original,KidStart
line:5746d5,"ok, danke",ok thanks,ok thanks,Player,KidStart
line:509a8c,ernsthaft nur ein aller letztes mal,seriously just one last time,seriously just one last time,Player,KidStart
line:1a38b1,HALTE,HOLD,HOLD,Original,KidStart
line:77a928,{{JumpButton}},{{JumpButton}},{{JumpButton}},Original,KidStart
line:f7a6f2,UM,TO,TO,Original,KidStart
line:193b8b,ZU,GLIDE!!!!,GLIDE!!!!,Original,KidStart
line:abcac6,GLEITEN!!!!,ok i promise i won't forget,ok i promise i won't forget,Player,KidStart
line:ff18cb,"okay, ich verspreche es\nich werde es nicht vergessen",just one more-,just one more-,Player,KidStart
line:e27b74,nur ein letztes-,NO!,NO!,Original,KidStart
line:81083b,NEIN!,NOOOO!,NOOOO!,Original,KidStart
line:9ab14d,NEEEEIN!,NOOOOOOOOOOOOOOOOOOO!,NOOOOOOOOOOOOOOOOOOO!,Original,KidStart
line:767e99,NEEEEEEEEEEEEEEEEEEEIN!,NO MORE!!!!,NO MORE!!!!,Original,KidStart
line:29cac4,HEY DU,HEY YOU,HEY YOU,Original,OtherKidStart
line:17a485,BRINGE MIR 15 MUSCHELN!,FIND ME 15 SHELLS!,FIND ME 15 SHELLS!,Original,OtherKidStart
line:c5ecea,was! warum?,what! why?,what! why?,Player,OtherKidStart
line:e4e484,ich will sie haben,i want em,i want em,Original,OtherKidStart
line:88d371,"ja, aber warum","yeah, but why","yeah, but why",Player,OtherKidStart
line:7a437e,das ist ein geheimnis!,it's a secret!,it's a secret!,Original,OtherKidStart
line:a889a8,"heh, okay","heh, ok","heh, ok",Player,OtherKidStart
line:ad9058,ich werde ein auge drauf haben,i'll keep an eye out,i'll keep an eye out,Player,OtherKidStart
line:875ed5,bitte hab' beide augen drauf!,"keep BOTH eyes out, please!","keep BOTH eyes out, please!",Original,OtherKidStart
line:feb9a5,"hey, ich habe deine muscheln","hey, i got your shells","hey, i got your shells",Player,OtherKidStart
line:051e4c,ooooo!,ooooo!,ooooo!,Original,OtherKidStart
line:c72422,ich nehme sie!,i'll take em!,i'll take em!,Original,OtherKidStart
line:e1241c,und was jetzt,so now what,so now what,Player,OtherKidStart
line:3e628d,was,what,what,Original,OtherKidStart
line:831bce,ich meine,i mean,i mean,Player,OtherKidStart
line:147c2e,uh,uh,uh,Player,OtherKidStart
line:1b9367,bekomme ich irgendetwas,do i get anything,do i get anything,Player,OtherKidStart
line:2fde5e,nein!,no!,no!,Original,OtherKidStart
line:05680a,"grüne neune, nicht einmal ein dankeschön?","geez, not even a thank you?","geez, not even a thank you?",Player,OtherKidStart
line:16ea80,das ist aber nicht sehr nett,that's not very nice,that's not very nice,Player,OtherKidStart
line:bae3c7,ich tue was es braucht um zu überleben!,i do what it takes to survive!,i do what it takes to survive!,Original,OtherKidStart
line:648a49,ich habe dir nie etwas versprochen,i never promised you anything,i never promised you anything,Original,OtherKidStart
line:caf7cc,...,...,...,Player,OtherKidStart
line:8e0304,eigentlich,actually,actually,Original,OtherKidStart
line:9d6eff,ich habe schon etwas für dich,i do have something for you,i do have something for you,Original,OtherKidStart
line:4d16a1,einen neuen job,a new job,a new job,Original,OtherKidStart
line:921eeb,ich habe schon einen job,i already have a job,i already have a job,Player,OtherKidStart
line:4ab932,"nun, mach das als ein nebenauftrag",well make this your side gig,well make this your side gig,Original,OtherKidStart
line:1054b1,was ist wenn ich es nicht annehme,what if i don't take it,what if i don't take it,Player,OtherKidStart
line:5ac191,es ist dein verlust!,it's your loss!,it's your loss!,Original,OtherKidStart
line:2f60fc,gute jobs sind hart zu finden,good jobs are hard to find,good jobs are hard to find,Original,OtherKidStart
line:0c16fe,...,...,...,Original,OtherKidStart
line:c46b69,also möchtest du ihn?,so what will it be?,so what will it be?,Original,OtherKidStart
line:21d908,"also, was ist mit den muscheln?",so what's the deal with the shells?,so what's the deal with the shells?,Player,OtherKidStart
line:414248,das geht dich nichts an!,it's none of your business!,it's none of your business!,Original,OtherKidStart
line:14cf86,außerdem,except,except,Original,OtherKidStart
line:dfc345,solltest du mir 15 von denen\nfür das geschäft besorgen,for the business of you\ngetting me 15 of them,for the business of you\ngetting me 15 of them,Original,OtherKidStart
line:2e35f7,ich habe bis jetzt {{Item_Shell}} muscheln gesammelt!,i got {{Item_Shell}} shells so far!,i got {{Item_Shell}} shells so far!,Player,OtherKidStart
line:0e8aeb,"hey, kann ich dir eine\nkurze frage stellen?",hey can i ask you\na quick question,hey can i ask you\na quick question,Original,OtherKidStart
line:0a19d0,klar doch,sure,sure,Player,OtherKidStart
line:8a7060,ist {{Item_Shell}} mehr oder weniger als 15,is {{Item_Shell}} more or less than 15,is {{Item_Shell}} more or less than 15,Original,OtherKidStart
line:02f9ee,"äh,","uh,","uh,",Player,OtherKidStart
line:e8e0b5,weniger?,less?,less?,Player,OtherKidStart
line:588d2f,ja,yeah,yeah,Original,OtherKidStart
line:4b7c40,ist es,it is,it is,Original,OtherKidStart
line:53148f,wenn du die muscheln nicht hast...,if you don't have the goods...,if you don't have the goods...,Original,OtherKidStart
line:96850b,...dann verschwende nicht meine zeit!,...then don't waste my time!,...then don't waste my time!,Original,OtherKidStart
line:b94465,"okay, meine güte!",okay geez!,okay geez!,Player,OtherKidStart
line:961fbd,was soll ich sagen,what can i say,what can i say,Original,OtherKidStart
line:974e98,ich hab' den laden fest im griff,i run a tight ship,i run a tight ship,Original,OtherKidStart
line:e38563,hmmm,hmmm,hmmm,Original,FoxStart
line:b29d15,ich wollte zu\n<color=red>Hawk Peak</color> wandern,i was planning on hiking\nto <color=red>Hawk Peak</color>,i was planning on hiking\nto <color=red>Hawk Peak</color>,Original,FoxStart
line:7ba030,aber dann wurde der pfad ziemlich steil,but the path suddenly got really steep,but the path suddenly got really steep,Original,FoxStart
line:83c6cd,denkst du man kann da hochsteigen?,do you think it's climbable?,do you think it's climbable?,Player,FoxStart
line:bb9ad1,"sicherlich, mit einer\n<color=red>goldenen feder</color>","well, it would be if i had\na <color=red>golden feather</color>","well, it would be if i had\na <color=red>golden feather</color>",Original,FoxStart
line:c5407a,anscheinend verkaufen sie die im <color=red>Besucherzentrum</color>,apparently they sell them\nat the <color=red>Visitor Center</color>,apparently they sell them\nat the <color=red>Visitor Center</color>,Original,FoxStart
line:4cacb9,"also, wie funktionieren <color=red>goldene federn</color>?","so, how do <color=red>golden feathers</color> work?","so, how do <color=red>golden feathers</color> work?",Player,FoxStart
line:37e9e6,"also wenn du eine in\ndeiner tasche hast,","well, when you've got\none in your pocket","well, when you've got\none in your pocket",Original,FoxStart
line:477585,"fühlst du dich um einiges leichter,",you'll feel much lighter,you'll feel much lighter,Original,FoxStart
line:3bbcd0,"was es einfacher macht,\nklippen zu überwinden!",that makes it easier to\nclimb up cliffs!,that makes it easier to\nclimb up cliffs!,Original,FoxStart
line:e82492,woah,woah,woah,Player,FoxStart
line:5dd075,das ist cool!,that's pretty cool,that's pretty cool,Player,FoxStart
line:9d3ba7,Ja ist es!,it is indeed!,it is indeed!,Original,FoxStart
line:2c9d43,also warum gehst du zu Hawk Peak?,so why are you going to Hawk Peak?,so why are you going to Hawk Peak?,Player,FoxStart
line:cf58a9,ich mach 'mal ein paar gute\n natur-fotos von oben,i'm going to take some great\nnature shots from the top,i'm going to take some great\nnature shots from the top,Original,FoxStart
line:f9074d,ich würde mich nicht als fotografen bezeichnen...,i wouldn't call myself a photographer but...,i wouldn't call myself a photographer but...,Original,FoxStart
line:02b8b9,es ist nur ein nettes hobby...,it's just a fun hobby,it's just a fun hobby,Original,FoxStart
line:bf4b14,ich muss auch dahin!,i'm going there too!,i'm going there too!,Player,FoxStart
line:fd2045,wirklich?,oh yeah?,oh yeah?,Original,FoxStart
line:6e4c47,ich hörte es ist ein langer weg dahin,i heard it's a long hike,i heard it's a long hike,Original,FoxStart
line:34b8e9,ist es wirklich?,"it is, eh?","it is, eh?",Player,FoxStart
line:ed5d70,meine tante meint immer..,my aunt's always like,my aunt's always like,Player,FoxStart
line:215373,"""es ist nur ein katzensprung entfernt!""","""it's just a short hike away!""","""it's just a short hike away!""",Player,FoxStart
line:fb4e3a,aber sie ist ein totaler outdoor-freak,but she's a total outdoors geek,but she's a total outdoors geek,Player,FoxStart
line:8c7a1f,also,so,so,Player,FoxStart
line:b7e9d9,ich glaub sie unterschätzt es,i think she underestimates it,i think she underestimates it,Player,FoxStart
line:7ba994,glaube ich auch,i'd say so,i'd say so,Original,FoxStart
line:726a9c,wenn wir es zur selben zeit erschaffen,if we make it up at the same time,if we make it up at the same time,Player,FoxStart
line:4286c4,du musst mir mein bild bringen!,you'll have to get my picture!,you'll have to get my picture!,Player,FoxStart
line:4a5a70,hört sich nach nem guten plan an!,sounds like a plan!,sounds like a plan!,Original,FoxStart
line:b69196,wir sehen uns dort!,see ya there!,see ya there!,Player,FoxStart
line:d8da86,das ist ein klein\nwenig peinlich,this is a little\nbit embarrassing,this is a little\nbit embarrassing,Original,VisitorCenterStart
line:b49975,"ich denke, ich bin\nnicht sehr fotogen",i don't think i'm\nvery photogenic,i don't think i'm\nvery photogenic,Original,VisitorCenterStart
line:790618,aber ich bin froh\nwenn ich ihn bei seiner\nkunst helfen kann!,but i'm glad i can\nhelp with his art!,but i'm glad i can\nhelp with his art!,Original,VisitorCenterStart
line:773c2e,jedenfalls,anyway,anyway,Original,VisitorCenterStart
line:7cc3e6,ich schaue scharf\nmit diesem hut aus!,lookin' sharp in that hat!,lookin' sharp in that hat!,Original,VisitorCenterStart
line:9076cd,howdy!,howdy!,howdy!,Original,VisitorCenterStart
line:40a49b,was geht?,what's up?,what's up?,Original,VisitorCenterStart
line:663e36,kann ich eine <color=red>goldene feder</color> kaufen?,can I buy a <color=red>golden feather?</color>,-> can I buy a <color=red>golden feather?</color>,Player,VisitorCenterStart
line:7c01cd,was verkaufst du?,what kind of merch do you sell?,-> what kind of merch do you sell?,Player,VisitorCenterStart
line:c822cd,nicht sehr viel,nothing much,-> nothing much,Player,VisitorCenterStart
line:a7d95e,yup,yup,yup,Original,VisitorCenterStart
line:e6c071,so läuft das,that's how it goes,that's how it goes,Original,VisitorCenterStart
line:d2ce1b,womit kann ich dir behilflich sein?,how can i help you?,how can i help you?,Original,VisitorCenterStart
line:21f53d,ich habe gehört du verkaufst <color=red>\ngoldene federn</color> hier,i heard you sell <color=red>\ngolden feathers</color> here,i heard you sell <color=red>\ngolden feathers</color> here,Player,VisitorCenterStart
line:2c9feb,"ah, das tun wir!","ah, we do!","ah, we do!",Original,VisitorCenterStart
line:65be46,du kannst eine für\n40 münzen kaufen,you can buy one\nfor 40 coins,you can buy one\nfor 40 coins,Original,VisitorCenterStart
line:bc4372,ich nehme sie!,i'll take it!,-> i'll take it!,Player,VisitorCenterStart
line:893486,was verkaufst du sonst noch so?,what else do you sell?,-> what else do you sell?,Player,VisitorCenterStart
line:5274f3,mir geht's gut,i'm good for now,-> i'm good for now,Player,VisitorCenterStart
line:505bd5,wir verkaufen ebenfalls waren\naus dem Provinz Park,we also sell provincial\npark merchandise,we also sell provincial\npark merchandise,Original,VisitorCenterStart
line:d739f6,"alles klärchen, pass auf dich auf","alrighty, take care","alrighty, take care",Original,VisitorCenterStart
line:bc241f,"ähm,","um,","um,",Original,VisitorCenterStart
line:27d375,ich weiß nicht,i dunno,i dunno,Original,VisitorCenterStart
line:6295ae,"ich denke, mir geht's super",i guess i'm fine,i guess i'm fine,Original,VisitorCenterStart
line:f627f3,alles klärchen!,alrighty!,alrighty!,Original,VisitorCenterStart
line:9149a2,"lass' es mich wissen, wenn du\neine wegbeschreibung brauchst\noder einfach etwas kaufen möchtest",let me know if you need directions\nor want to buy anything,let me know if you need directions\nor want to buy anything,Original,VisitorCenterStart
line:8051f6,"oh, was verkaufst du denn?","oh, what are you selling?","oh, what are you selling?",Player,VisitorCenterStart
line:f74cad,"nun, wir haben waren\naus dem Provinz Park","well, we have provincial\npark merch","well, we have provincial\npark merch",Original,VisitorCenterStart
line:03b0f8,und ein paar wandervorräte\nwie <color=red>goldene federn</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,Original,VisitorCenterStart
line:4996e6,was sind das für welche?,what are those?,what are those?,Player,VisitorCenterStart
line:da421d,die klingen cool,they sound cool,they sound cool,Player,VisitorCenterStart
line:f56321,die sind cool!,they are cool!,they are cool!,Original,VisitorCenterStart
line:fd1b15,sie machen felsklettern einfacher,they make rock climbing easier,they make rock climbing easier,Original,VisitorCenterStart
line:852b3a,und in deinem fall,and in your case,and in your case,Original,VisitorCenterStart
line:0f4a0c,werden sie dir beim fliegen helfen,will also help you fly,will also help you fly,Original,VisitorCenterStart
line:a936ff,!!,!!,!!,Player,VisitorCenterStart
line:24358e,du kannst eine für\n40 münzen kaufen,you can buy one for 40 coins,you can buy one for 40 coins,Original,VisitorCenterStart
line:b56114,ich nehme sie!!,i'll take it!!,-> i'll take it!!,Player,VisitorCenterStart
line:5294c3,was verkaufst du sonst noch so?,what kind of merch do you sell?,-> what kind of merch do you sell?,Player,VisitorCenterStart
line:68907f,mir geht's gut,i'm good for now,-> i'm good for now,Player,VisitorCenterStart
line:c2141d,"alles klärchen, pass' auf dich auf","alrighty, take care","alrighty, take care",Original,VisitorCenterStart
line:590cdd,eigentlich sind alle ausverkauft,"actually, we're all sold out","actually, we're all sold out",Original,BuyFeatherStart
line:811e78,"<color=red>ein junge</color>, der vorhin vorbei kam\nkaufte den größten teil\ndes restlichen lagers",<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,Original,BuyFeatherStart
line:a6297a,er musste\neinige wanderungen machen!,he must be going\non some hike!,he must be going\non some hike!,Original,BuyFeatherStart
line:8cdf8a,"aber sicher doch, bitte sehr!","sure, here ya go!","sure, here ya go!",Original,BuyFeatherStart
line:069cfe,"das sind tatsächlich alle federn,\ndie wir haben",that's actually all\nthe feathers we have,that's actually all\nthe feathers we have,Original,BuyFeatherStart
